OTU_ID,April_150m_DNA,July_DCM_DNA,April_890m_DNA,Oct_DCM_DNA,Oct_150m_DNA,July_150m_DNA,April_150m_cDNA,July_150m_cDNA,Jan_DCM_DNA,Jan_150m_DNA,April_CAT_DNA,April_5m_DNA,July_POLA_DNA,July_CAT_DNA,July_5m_DNA,April_5m_cDNA,July_CAT_cDNA,July_5m_cDNA,Oct_CAT_DNA,April_CAT_cDNA,Oct_POLA_DNA,Oct_5m_DNA,Oct_CAT_cDNA,Oct_5m_cDNA,Jan_CAT_DNA,Jan_5m_DNA,Jan_POLA_DNA,Jan_5m_cDNA,April_DCM_DNA,Jan_CAT_cDNA,July_DCM_cDNA,April_DCM_cDNA,Oct_150m_cDNA,Jan_DCM_cDNA,Jan_150m_cDNA,April_POLA_cDNA,July_POLA_cDNA,April_POLA_DNA,Oct_POLA_cDNA,Jan_POLA_cDNA,July_890m_DNA,July_890m_cDNA,Oct_DCM_cDNA,Jan_890m_DNA,Jan_890m_cDNA,Oct_890m_DNA,Oct_890m_cDNA,April_890m_cDNA,taxonomy
GU820127,17,0,13,0,4,26,217,453,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,154,0,0,0,0,0,18,360,0,5,211,163,694,60,Eukaryota; __Alveolata; __Dinoflagellata; __Dinophyceae; __Gymnodiniphycidae; __Gyrodinium
AF382824,30,18,1,13,10,24,30,29,25,33,42,252,7,0,20,276,0,4,0,33,87,6,0,0,1,2,83,8,254,0,0,50,8,3,11,39,12,33,4,2,0,3,2,1,1,0,0,3,Eukaryota; __Rhizaria; __Radiolaria; __Polycystinea; __Nassellaria; __Pseudocubus
AF382825,55,0,17,0,55,68,59,48,7,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,2,58,3,186,0,0,0,0,1,15,6,0,1,5,3,3,8,Eukaryota; __Rhizaria; __Radiolaria; __RAD B; __; __
GU369999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,Eukaryota; __Rhizaria; __Cercozoa; __Silicofilosea; __CCW10; __
EU793783,1,0,0,0,5,21,1,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota; __Alveolata; __Protalveolata; __Syndiniales; __Syndiniales Group V; __
HE578879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,Eukaryota; __Chloroplastida; __Phragmoplastophyta; __Magnoliophyta
FJ153660,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota; __Cryptophyceae; __Cryptomonadales; __; __; __
FJ153666,0,1,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota; __Cryptophyceae; __Cryptomonadales; __Teleaulax; __; __
JF791015,8,513,1,567,0,14,62,222,294,8,75,240,73,14,108,964,15,140,124,91,52,114,120,208,479,484,96,2412,49,742,437,879,209,1218,315,50,110,6,287,238,1,1,1470,429,0,0,3,0,Eukaryota; __Alveolata; __Ciliophora; __Spirotrichea; __Oligotrichia; __Pseudotontonia
HQ912667,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,3,2,0,0,0,1,0,0,0,0,Eukaryota; __Stramenopiles; __Diatomea; __Coscinodiscophytina; __Coscinodiscids; __Coscinodiscus
FJ000264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota; __Rhizaria; __Radiolaria; __RAD B; __; __
FJ000265,47,81,453,139,38,709,1454,12261,461,246,86,150,399,104,848,396,48,676,81,130,65,150,54,100,170,124,293,546,64,200,25,1918,2099,1383,2297,268,292,33,230,378,1613,7020,360,823,8696,334,2265,2046,Eukaryota; __Alveolata; __Ciliophora; __Spirotrichea; __Oligotrichia; __uncultured
FJ000269,2,0,0,0,3,11,2,0,6,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,14,0,0,Eukaryota; __Alveolata; __Protalveolata; __Syndiniales; __Syndiniales Group I; __
HQ912669,20,1,0,2,0,22,100,14,2,10,24,74,53,45,320,86,15,78,370,12,37,12,60,6,36,0,240,0,152,35,0,980,4,0,5,8474,34,222,149,210,0,0,2,298,0,3,0,0,Eukaryota; __Stramenopiles; __Diatomea; __Bacillariophytina; __Mediophyceae; __Chaetoceros
JN811211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota; __Rhizaria; __Radiolaria; __Acantharia; __Acantharea Group VI; __
EU793410,12,37,10,143,23,64,13,90,52,87,9,0,39,29,84,8,2,4,346,1,35,602,35,56,32,116,11,10,3,2,0,8,34,1,18,1,4,0,1,1,10,0,28,1,1,2,3,8,Eukaryota; __Alveolata; __Protalveolata; __Syndiniales; __Syndiniales Group II; __
GU822806,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota; __Alveolata; __Dinoflagellata; __Dinophyceae; __Gymnodiniphycidae
AB601108,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,4,0,23,0,1,0,0,0,0,0,0,0,0,0,Eukaryota; __Haptophyta; __Prymnesiophyceae; __Prymnesiales; __Chrysochromulina; __
EF172803,0,0,1,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,1,0,0,5,0,0,0,Eukaryota; __Rhizaria; __Radiolaria; __RAD B; __; __
EF172802,0,0,0,0,11,0,5,26,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota; __Rhizaria; __Radiolaria; __Acantharia; __Acantharea Group II; __
EF172800,396,0,1,0,397,606,23,56,3,715,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,31,0,13,0,0,0,0,0,0,0,0,0,2,0,0,0,Eukaryota; __Alveolata; __Protalveolata; __Syndiniales; __Syndiniales Group II; __
EF172806,0,0,4,0,2,4,5,7,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,67,0,0,0,0,0,0,2,0,0,1,0,1,4,Eukaryota; __Rhizaria; __Radiolaria; __RAD B; __; __
EF527005,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota; __Cryptophyceae; __Cryptomonadales; __Teleaulax; __; __
GQ365859,0,121,0,17,1,2,36,41,106,16,170,54,84,20,64,484,19,30,48,1027,26,82,53,102,58,72,15,208,3,50,53,45,48,127,72,0,95,0,68,21,2,2,74,17,4,0,0,0,Eukaryota; __Telonema; __Incertae Sedis; __; __; __
GU823045,6,5,2,21,0,6,227,265,27,11,8,2,18,37,84,38,321,188,10,16,14,72,22,112,10,8,43,98,2,31,0,85,100,86,259,50,23,1,50,183,27,593,52,202,243,3,26,107,Eukaryota; __Stramenopiles; __MAST-4; __; __; __
GU823044,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,19,5,1,30,2,0,0,0,2,0,0,0,0,Eukaryota; __Stramenopiles; __Chrysophyceae; __Ochromonadales; __Paraphysomonas; __
GU969200,14,102,2,1051,153,692,54,122,1370,6220,6,218,0,5105,50362,24,28,614,897,0,47,21238,6,282,123,1094,1,16,143,4,0,14,169,22,122,0,0,0,3,0,1,0,17,2,0,6,1,0,Eukaryota; __Metazoa; __Arthropoda; __Maxillopoda; __; __
EU851169,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota; __Stramenopiles; __Labyrinthulomycetes; __Thraustochytriaceae; __Aplanochytrium; __
DQ504344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota; __Metazoa; __Porifera; __Demospongiae; __; __
DQ504346,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota; __Metazoa; __Annelida; __; __; __
GQ863825,10,17,0,42,21,6,3,7,804,49,43,2,2,41,88,0,1,2,17,1,24,14,2,0,48,52,127,0,2,1,1,1,9,20,1,0,0,0,2,5,22,0,4,15,0,146,4,0,Eukaryota; __Chloroplastida; __Subclade B; __; __; __
GQ863824,0,0,0,4,0,0,7,14,3,0,0,0,0,0,0,0,0,0,0,2,0,8,0,10,0,0,0,8,0,2,0,0,3,1,18,0,0,0,0,0,0,0,6,1,0,0,0,0,Eukaryota; __Rhizaria; __Cercozoa; __Silicofilosea; __Chlorarachniophyta; __NOR26
GQ863821,0,0,0,0,0,0,0,0,0,0,1,10,1,0,0,74,1,24,0,28,0,0,0,0,5,0,0,8,0,3,0,4,0,0,0,0,9,0,5,0,0,0,0,5,0,0,0,0,Eukaryota; __Chloroplastida; __Mamiellophyceae
GU823192,2,0,0,1,0,0,1,0,0,2,0,2,2,0,14,54,4,40,16,3,3,28,7,44,0,0,6,0,0,0,0,21,0,0,4,6,1,1,11,2,0,0,0,12,0,0,0,0,Eukaryota; __Stramenopiles; __Labyrinthulomycetes; __Thraustochytriaceae; __AB3F14RJ3E10; __
GU823195,0,0,0,0,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Eukaryota; __Alveolata; __Protalveolata; __Syndiniales; __Syndiniales Group I; __
GU067782,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,3,4,0,0,0,0,0,1,0,0,0,0,0,1,1,0,6,0,0,0,0,2,0,0,0,0,Eukaryota; __Haptophyta; __Prymnesiophyceae; __Prymnesiales; __Chrysochromulina; __
HM853793,72,2,11,9,26,17,23,9,756,20,28,214,1320,558,4022,26,7,4,88,3,58,238,0,14,114,266,37,12,10,6,0,3,23,4,1,8,26,101,9,1,108,14,2,4,0,0,1,11,Eukaryota; __Alveolata; __Dinoflagellata; __Dinophyceae; __Dinophysiales; __Dinophysis
JQ226385,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota; __Metazoa; __Arthropoda; __Maxillopoda; __; __
AB106265,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,3,6,0,5,0,0,0,2,0,0,0,3,Eukaryota; __Metazoa; __Annelida; __; __; __
AB106261,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,2,Eukaryota; __Metazoa; __Annelida; __; __; __
EU272608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota; __Metazoa; __Cnidaria; __Hydrozoa; __; __
GU823601,3,2,2,11,2,13,62,192,8,3,5,0,0,2,0,12,8,6,9,2,7,40,8,70,1,0,7,8,0,1,5,5,92,8,60,0,0,0,10,6,0,3,8,8,11,0,3,8,Eukaryota; __Stramenopiles; __Dictyochophyceae; __NIF-1D10; __; __
EF172934,38,0,0,0,33,63,29,19,20,126,122,450,0,0,0,28,0,0,1,3,0,0,0,0,125,248,2,64,57,22,0,27,34,0,54,0,0,0,0,0,0,1,0,2,2,0,0,5,Eukaryota; __Alveolata; __Protalveolata; __Syndiniales; __Syndiniales Group II; __
GU823605,25,10,0,21,5,0,50,0,3,34,125,346,14,108,254,242,6,22,2134,44,20,46,299,8,47,4,49,4,73,14,0,132,2,1,1,2,2,0,15,9,0,0,6,20,0,0,0,1,Eukaryota; __Stramenopiles; __Diatomea; __Coscinodiscophytina; __Rhizosolenids; __Guinardia
EF172932,21841,5,43,4,48601,17099,495,169,78,8664,3,18,2,2,4,88,0,0,7,0,8,12,0,0,10,6,3,0,2,3,0,52,887,0,27,0,0,3,0,0,0,0,0,1,0,31,1,1,Eukaryota; __Rhizaria; __Radiolaria; __Polycystinea; __Spumellaria; __C1-E045
EF172931,40,0,6,0,22,68,13,31,22,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,29,0,10,0,0,0,0,0,47,3,0,4,0,7,0,7,Eukaryota; __Alveolata; __Protalveolata; __Syndiniales; __Syndiniales Group II; __
EF172930,7,0,26,1,569,15,0,1,0,885,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,156,3,0,2,1,25,0,0,Eukaryota; __Rhizaria; __Radiolaria; __Polycystinea; __Spumellaria; __uncultured
FJ000081,109,0,88,212,21,185,492,197,253,502,366,84,25,1,236,72,1,2,4,386,6,0,0,2,72,184,102,112,50,12,0,95,184,91,423,3,6,2,6,46,411,706,73,106,835,473,3092,208,Eukaryota; __Alveolata; __Ciliophora; __Spirotrichea; __Choreotrichia; __Salpingella
FJ000083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota; __Stramenopiles; __MAST-9; __; __; __
AY103189,0,1,0,0,0,4,0,82,0,0,0,0,0,2,136,0,2,106,8,0,0,20,0,102,0,0,0,0,0,0,2,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota; __Alveolata; __Ciliophora; __Conthreep; __Oligohymenophorea; __Homalogastra
EF172939,22,0,2,0,14,59,0,10,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,16,0,0,0,0,0,0,0,Eukaryota; __Alveolata; __Protalveolata; __Syndiniales; __Syndiniales Group II; __
JF730810,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,Eukaryota; __Rhizaria; __Cercozoa; __Thecofilosea; __uncultured; __
HQ438143,0,0,0,1,0,4,3,7,44,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,14,4,2,3,0,0,3,0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Eukaryota; __Alveolata; __Protalveolata; __Syndiniales; __Syndiniales Group II; __
HQ438142,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota; __Alveolata; __Dinoflagellata; __Dinophyceae
FJ775713,0,0,0,0,0,0,0,2,0,0,1,10,0,0,0,18,0,0,0,10,0,0,0,0,0,0,0,0,9,0,0,31,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota; __Alveolata; __Ciliophora; __Spirotrichea; __Hypotrichia
HQ438145,0,0,0,0,0,0,0,0,8,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,Eukaryota; __Alveolata; __Protalveolata; __Syndiniales
AY046784,17,10,12,14,3,25,36,69,9,105,57,28,0,6,402,12,0,34,37,2,2,130,3,0,15,12,4,0,6,0,5,3,24,1,5,0,0,0,0,0,7,0,0,1,0,2,1,0,Eukaryota; __Stramenopiles; __Labyrinthulomycetes; __Thraustochytriaceae; __Aplanochytrium; __
JQ226764,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Eukaryota; __Alveolata; __Protalveolata; __Syndiniales; __Amoebophrya; __
GU825609,0,3,6,13,0,0,3,6,9,0,0,0,2,0,0,0,0,2,1,1,0,0,0,0,0,0,10,4,0,1,0,20,9,5,22,0,1,0,0,2,50,58,3,4,76,4,30,44,Eukaryota; __Alveolata; __Protalveolata; __Syndiniales; __Syndiniales Group III; __
DQ514846,5,0,0,0,0,0,20,13,0,0,0,2,18,0,80,6,0,6,0,0,0,0,0,0,0,0,33,0,29,0,0,73,9,0,0,383,20,2,8,27,0,0,0,37,0,0,0,0,Eukaryota; __Stramenopiles; __Diatomea; __Bacillariophytina; __Mediophyceae; __Ditylum
DQ514849,0,0,0,0,0,14,0,8,0,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,36,0,33,0,48,14,0,54,0,0,2,83,4,5,9,14,0,0,0,8,0,0,0,0,Eukaryota; __Stramenopiles; __Diatomea; __Bacillariophytina; __Mediophyceae
D83383,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota; __Metazoa; __Platyhelminthes; __Turbellaria; __Polycladida; __
HM581600,0,0,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,12,3,17,8,0,0,0,0,0,0,9,8,2,8,0,0,10,Eukaryota; __Haptophyta; __Prymnesiophyceae; __F01N5; __; __
AF290083,3,54,0,7,0,9,64,99,38,7,18,26,26,24,28,310,99,90,46,180,24,56,92,102,12,6,44,132,15,27,59,207,40,74,30,123,75,2,152,87,0,6,16,106,1,0,0,3,Eukaryota; __Stramenopiles
AY894295,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota; __Metazoa; __Annelida; __; __; __
GU825049,2,0,1,0,0,7,5,4,5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota; __Stramenopiles; __Diatomea; __Bacillariophytina; __Mediophyceae; __Thalassiosira
GU825041,18,1,2,0,0,8,18,2,3,0,3,12,0,0,0,24,1,0,0,1,0,0,0,0,7,0,0,0,10,4,0,10,0,0,0,60,0,4,0,1,0,0,0,0,0,0,0,0,Eukaryota; __Stramenopiles; __Diatomea; __Bacillariophytina; __Mediophyceae; __Chaetoceros
GU825040,7,0,0,3,7,32,1,17,0,6,0,0,0,0,10,0,0,4,125,0,0,134,0,0,7,2,1,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,Eukaryota; __Alveolata; __Protalveolata; __Syndiniales; __Syndiniales Group II; __
GU972212,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,Eukaryota; __Fungi; __Basidiomycota; __Exobasidiomycetes; __Malassezia; __
GQ227501,0,0,0,0,0,0,0,0,0,0,0,0,116,0,192,0,0,0,22,0,129,8,0,0,0,0,73,0,32,0,0,0,0,0,0,1,0,1,0,1,0,0,0,3,0,0,0,0,Eukaryota; __Alveolata; __Dinoflagellata; __Dinophyceae; __Peridiniphycidae
GU819918,259,27,86,46,78,223,2,20,487,431,2284,364,16,45,24,14,0,0,12,0,11,6,0,0,243,370,136,8,338,1,0,19,10,0,0,0,0,53,1,3,186,2,0,10,3,210,0,3,Eukaryota; __Alveolata; __Protalveolata; __Syndiniales; __Syndiniales Group I; __
GU821740,0,0,4,0,184,0,0,0,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Eukaryota; __Rhizaria; __Radiolaria; __Polycystinea; __Spumellaria; __C1-E045
AY129040,0,0,0,0,0,0,0,0,0,1,0,0,1109,10,18,0,0,0,1,0,451,0,0,0,20,32,74,0,0,0,0,0,0,0,0,3,37,26,13,2,7,0,0,3,0,0,0,0,Eukaryota; __Alveolata; __Protalveolata; __Syndiniales; __Amoebophrya; __
AY129043,0,35,0,103,6,5,0,3,52,0,0,4,184,0,50,2,0,8,12,0,81,26,0,0,20,0,107,4,0,0,1,0,3,2,0,0,15,0,13,6,0,0,9,7,0,0,0,0,Eukaryota; __Alveolata; __Protalveolata; __Syndiniales; __Amoebophrya; __
AY129045,0,1,0,0,0,0,0,0,1,0,2,4,135,0,70,0,0,0,0,1,18,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,12,0,4,0,0,0,0,0,0,0,0,0,Eukaryota; __Alveolata; __Protalveolata; __Syndiniales; __Syndiniales Group II; __
HQ867698,0,3,0,0,0,2,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,16,4,0,5,0,0,0,0,0,1,14,0,1,7,0,9,2,Eukaryota; __Stramenopiles; __MAST-1; __MAST-1 B; __; __
FJ537315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Eukaryota; __Stramenopiles; __Chrysophyceae; __LG01-09; __; __
