type,id,attributes.accession,attributes.pipeline-version,attributes.experiment-type,attributes.analysis-status,attributes.analysis-summary,attributes.is-private,attributes.last-update,attributes.complete-time,attributes.instrument-platform,attributes.instrument-model,relationships.study.data.id,relationships.study.data.type,relationships.run.data.id,relationships.run.data.type,relationships.sample.data.id,relationships.sample.data.type
analysis-jobs,MGYA00776446,MGYA00776446,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '39380'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '34863'}, {'key': 'Nucleotide sequences after length filtering', 'value': '34863'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '34863'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '31320'}]",False,2024-07-29T08:12:58.153679,2024-07-29T08:12:56,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10717087,runs,SRS5841471,samples
analysis-jobs,MGYA00776449,MGYA00776449,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '27758'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '24460'}, {'key': 'Nucleotide sequences after length filtering', 'value': '24460'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '24460'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '19967'}]",False,2024-07-29T08:13:13.976613,2024-07-29T08:13:12,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10717086,runs,SRS5841472,samples
analysis-jobs,MGYA00776452,MGYA00776452,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '51584'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '45158'}, {'key': 'Nucleotide sequences after length filtering', 'value': '45158'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '45158'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '38429'}]",False,2024-07-29T08:13:29.375332,2024-07-29T08:13:28,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10717082,runs,SRS5841476,samples
analysis-jobs,MGYA00776455,MGYA00776455,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '34083'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '30316'}, {'key': 'Nucleotide sequences after length filtering', 'value': '30316'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '30316'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '25621'}]",False,2024-07-29T08:13:44.663629,2024-07-29T08:13:43,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10717079,runs,SRS5841479,samples
analysis-jobs,MGYA00776458,MGYA00776458,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '69484'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '63230'}, {'key': 'Nucleotide sequences after length filtering', 'value': '63230'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '63230'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '36634'}]",False,2024-07-29T08:14:00.823869,2024-07-29T08:13:59,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10717078,runs,SRS5841481,samples
analysis-jobs,MGYA00776462,MGYA00776462,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '47486'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '42620'}, {'key': 'Nucleotide sequences after length filtering', 'value': '42620'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '42620'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '37228'}]",False,2024-07-29T08:14:17.850561,2024-07-29T08:14:16,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10717077,runs,SRS5841480,samples
analysis-jobs,MGYA00776465,MGYA00776465,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '35487'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '31457'}, {'key': 'Nucleotide sequences after length filtering', 'value': '31457'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '31457'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '27264'}]",False,2024-07-29T08:14:33.421982,2024-07-29T08:14:31,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10717075,runs,SRS5841483,samples
analysis-jobs,MGYA00776468,MGYA00776468,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '24903'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '22175'}, {'key': 'Nucleotide sequences after length filtering', 'value': '22175'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '22175'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '19054'}]",False,2024-07-29T08:14:47.850360,2024-07-29T08:14:46,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10717069,runs,SRS5841488,samples
analysis-jobs,MGYA00776472,MGYA00776472,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '62461'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '55618'}, {'key': 'Nucleotide sequences after length filtering', 'value': '55618'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '55618'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '41612'}]",False,2024-07-29T08:15:05.513960,2024-07-29T08:15:03,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10717066,runs,SRS5841490,samples
analysis-jobs,MGYA00776476,MGYA00776476,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '45676'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '40433'}, {'key': 'Nucleotide sequences after length filtering', 'value': '40433'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '40433'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '31586'}]",False,2024-07-29T08:15:22.415211,2024-07-29T08:15:20,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10717064,runs,SRS5841493,samples
analysis-jobs,MGYA00776479,MGYA00776479,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '59364'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '52710'}, {'key': 'Nucleotide sequences after length filtering', 'value': '52710'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '52710'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '39959'}]",False,2024-07-29T08:15:36.647018,2024-07-29T08:15:35,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10717063,runs,SRS5841498,samples
analysis-jobs,MGYA00776482,MGYA00776482,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '51814'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '46150'}, {'key': 'Nucleotide sequences after length filtering', 'value': '46150'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '46150'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '38670'}]",False,2024-07-29T08:15:50.579676,2024-07-29T08:15:49,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10717056,runs,SRS5841501,samples
analysis-jobs,MGYA00776485,MGYA00776485,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '40256'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '35535'}, {'key': 'Nucleotide sequences after length filtering', 'value': '35535'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '35535'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '29851'}]",False,2024-07-29T08:16:05.632279,2024-07-29T08:16:04,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10717053,runs,SRS5841503,samples
analysis-jobs,MGYA00776488,MGYA00776488,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '26339'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '22715'}, {'key': 'Nucleotide sequences after length filtering', 'value': '22715'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '22715'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '18982'}]",False,2024-07-29T08:16:20.307181,2024-07-29T08:16:18,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10717051,runs,SRS5841505,samples
analysis-jobs,MGYA00776491,MGYA00776491,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '28494'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '24866'}, {'key': 'Nucleotide sequences after length filtering', 'value': '24866'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '24866'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '19464'}]",False,2024-07-29T08:16:35.541177,2024-07-29T08:16:33,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10717049,runs,SRS5841508,samples
analysis-jobs,MGYA00776495,MGYA00776495,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '23848'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '20470'}, {'key': 'Nucleotide sequences after length filtering', 'value': '20470'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '20470'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '17342'}]",False,2024-07-29T08:16:52.570384,2024-07-29T08:16:49,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10717046,runs,SRS5841510,samples
analysis-jobs,MGYA00776499,MGYA00776499,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '37589'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '32392'}, {'key': 'Nucleotide sequences after length filtering', 'value': '32392'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '32392'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '28053'}]",False,2024-07-29T08:17:10.634363,2024-07-29T08:17:07,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10717033,runs,SRS5841524,samples
analysis-jobs,MGYA00776502,MGYA00776502,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '31883'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '28602'}, {'key': 'Nucleotide sequences after length filtering', 'value': '28602'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '28602'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '25185'}]",False,2024-07-29T08:17:26.104851,2024-07-29T08:17:24,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10717031,runs,SRS5841528,samples
analysis-jobs,MGYA00776505,MGYA00776505,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '29768'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '25769'}, {'key': 'Nucleotide sequences after length filtering', 'value': '25769'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '25769'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '20325'}]",False,2024-07-29T08:17:40.126816,2024-07-29T08:17:39,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10717025,runs,SRS5841534,samples
analysis-jobs,MGYA00776508,MGYA00776508,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '53732'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '45943'}, {'key': 'Nucleotide sequences after length filtering', 'value': '45943'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '45943'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '38074'}]",False,2024-07-29T08:17:53.700740,2024-07-29T08:17:52,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10717024,runs,SRS5841535,samples
analysis-jobs,MGYA00776511,MGYA00776511,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '6704'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '6222'}, {'key': 'Nucleotide sequences after length filtering', 'value': '6222'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '6222'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '1014'}]",False,2024-07-29T08:18:09.808607,2024-07-29T08:18:08,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10717023,runs,SRS5841533,samples
analysis-jobs,MGYA00776514,MGYA00776514,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '51490'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '44123'}, {'key': 'Nucleotide sequences after length filtering', 'value': '44123'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '44123'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '36740'}]",False,2024-07-29T08:18:23.340976,2024-07-29T08:18:22,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10717022,runs,SRS5841536,samples
analysis-jobs,MGYA00776517,MGYA00776517,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '30815'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '25766'}, {'key': 'Nucleotide sequences after length filtering', 'value': '25766'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '25766'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '21293'}]",False,2024-07-29T08:18:39.306562,2024-07-29T08:18:37,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10717019,runs,SRS5841539,samples
analysis-jobs,MGYA00776520,MGYA00776520,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '34284'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '29515'}, {'key': 'Nucleotide sequences after length filtering', 'value': '29515'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '29515'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '18905'}]",False,2024-07-29T08:18:56.640520,2024-07-29T08:18:54,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10717014,runs,SRS5841544,samples
analysis-jobs,MGYA00776525,MGYA00776525,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '2196'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '1953'}, {'key': 'Nucleotide sequences after length filtering', 'value': '1953'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '1953'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '863'}]",False,2024-07-29T08:19:16.990029,2024-07-29T08:19:15,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10717010,runs,SRS5841548,samples
analysis-jobs,MGYA00776528,MGYA00776528,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '32470'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '27702'}, {'key': 'Nucleotide sequences after length filtering', 'value': '27702'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '27702'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '22470'}]",False,2024-07-29T08:19:32.053995,2024-07-29T08:19:30,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10717008,runs,SRS5841550,samples
analysis-jobs,MGYA00776531,MGYA00776531,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '2921'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '2532'}, {'key': 'Nucleotide sequences after length filtering', 'value': '2532'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '2532'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '1589'}]",False,2024-07-29T08:19:47.140906,2024-07-29T08:19:45,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10717002,runs,SRS5841556,samples
analysis-jobs,MGYA00776534,MGYA00776534,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '29575'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '25456'}, {'key': 'Nucleotide sequences after length filtering', 'value': '25456'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '25456'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '19255'}]",False,2024-07-29T08:20:02.126024,2024-07-29T08:20:00,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10717001,runs,SRS5841575,samples
analysis-jobs,MGYA00776537,MGYA00776537,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '31206'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '27627'}, {'key': 'Nucleotide sequences after length filtering', 'value': '27627'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '27627'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '23236'}]",False,2024-07-29T08:20:19.157753,2024-07-29T08:20:17,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10716998,runs,SRS5841559,samples
analysis-jobs,MGYA00776540,MGYA00776540,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '56423'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '48200'}, {'key': 'Nucleotide sequences after length filtering', 'value': '48200'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '48200'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '36043'}]",False,2024-07-29T08:20:34.099742,2024-07-29T08:20:32,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10716997,runs,SRS5841560,samples
analysis-jobs,MGYA00776544,MGYA00776544,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '23298'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '20857'}, {'key': 'Nucleotide sequences after length filtering', 'value': '20857'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '20857'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '20850'}]",False,2024-07-29T08:20:50.553414,2024-07-29T08:20:48,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10716996,runs,SRS5841576,samples
analysis-jobs,MGYA00776547,MGYA00776547,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '22965'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '20456'}, {'key': 'Nucleotide sequences after length filtering', 'value': '20456'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '20456'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '20451'}]",False,2024-07-29T08:21:06.690094,2024-07-29T08:21:04,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10716995,runs,SRS5841561,samples
analysis-jobs,MGYA00776551,MGYA00776551,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '26563'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '23657'}, {'key': 'Nucleotide sequences after length filtering', 'value': '23657'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '23657'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '23652'}]",False,2024-07-29T08:21:24.104574,2024-07-29T08:21:21,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10716993,runs,SRS5841563,samples
